"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\test\hero1.tsx", "TypeScript JSX", -66, 0, 0, -6, -7, -79
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\test\installation.tsx", "TypeScript JSX", -89, 0, 0, -2, -5, -96
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\test\page.tsx", "TypeScript JSX", -84, 0, 0, -1, -8, -93
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\test\testimonials.tsx", "TypeScript JSX", -99, 0, 0, -4, -6, -109
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\test\tst.tsx", "TypeScript JSX", -426, 0, 0, -12, -21, -459
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\app\test\vp.tsx", "TypeScript JSX", -96, 0, 0, -1, -4, -101
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\__deprecated\veiledning.page.tsx", "TypeScript JSX", 141, 0, 0, 6, 11, 158
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\analytics.tsx", "TypeScript JSX", 132, 0, 0, 9, 18, 159
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\articles\article-card.tsx", "TypeScript JSX", 48, 0, 0, 0, 4, 52
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\articles\article-list.tsx", "TypeScript JSX", 352, 0, 0, 19, 25, 396
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\articles\articles-hero.tsx", "TypeScript JSX", 37, 0, 0, 1, 4, 42
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\breadcrumbs.tsx", "TypeScript JSX", 59, 0, 0, 14, 4, 77
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\comparison-table\cell-tooltip.tsx", "TypeScript JSX", 29, 0, 0, 0, 5, 34
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\comparison-table\desktop.tsx", "TypeScript JSX", 146, 0, 0, 3, 12, 161
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\comparison-table\mobile.tsx", "TypeScript JSX", 114, 0, 0, 3, 12, 129
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\comparison-table\table.tsx", "TypeScript JSX", 29, 0, 0, 1, 5, 35
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\composable-form.tsx", "TypeScript JSX", 353, 0, 0, 50, 39, 442
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\contact-form.tsx", "TypeScript JSX", 178, 0, 0, 1, 18, 197
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\cookie-banner.tsx", "TypeScript JSX", 113, 0, 0, 6, 18, 137
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\counter-animation.tsx", "TypeScript JSX", 61, 0, 0, 15, 15, 91
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\error-boundary.tsx", "TypeScript JSX", 47, 0, 0, 1, 10, 58
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\error-display.tsx", "TypeScript JSX", 215, 0, 0, 8, 23, 246
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\gallery\balanced.tsx", "TypeScript JSX", 114, 0, 0, 0, 13, 127
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\gallery\bento.tsx", "TypeScript JSX", 59, 0, 0, 0, 10, 69
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\gallery\compact.tsx", "TypeScript JSX", 36, 0, 0, 0, 3, 39
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\gallery\gallery.tsx", "TypeScript JSX", 81, 0, 0, 4, 10, 95
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\gallery\image-card.tsx", "TypeScript JSX", 53, 0, 0, 0, 6, 59
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\gallery\masonry.tsx", "TypeScript JSX", 52, 0, 0, 1, 5, 58
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\gallery\panorama.tsx", "TypeScript JSX", 73, 0, 0, 0, 12, 85
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\home\benefits-section.tsx", "TypeScript JSX", 85, 0, 0, 2, 6, 93
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\home\testimonials.tsx", "TypeScript JSX", 66, 0, 0, 7, 8, 81
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\home\trust-section.tsx", "TypeScript JSX", 118, 0, 0, 0, 7, 125
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\layout\Footer.tsx", "TypeScript JSX", 130, 0, 0, 5, 7, 142
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\layout\Header.tsx", "TypeScript JSX", 325, 0, 0, 10, 26, 361
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\layout\index.tsx", "TypeScript JSX", 43, 0, 0, 0, 7, 50
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\lightbox.tsx", "TypeScript JSX", 85, 0, 0, 6, 11, 102
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\md-cta.tsx", "TypeScript JSX", 341, 0, 0, 15, 20, 376
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\md-header.tsx", "TypeScript JSX", 134, 0, 0, 47, 17, 198
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\md-image.tsx", "TypeScript JSX", 122, 0, 0, 5, 14, 141
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\md-navigation.tsx", "TypeScript JSX", 106, 0, 0, 2, 9, 117
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\md-renderer-with-toc.tsx", "TypeScript JSX", 248, 0, 0, 3, 24, 275
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\md-renderer.tsx", "TypeScript JSX", 521, 0, 0, 53, 41, 615
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\md-table.tsx", "TypeScript JSX", 19, 0, 0, 0, 5, 24
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\remark-directives.ts", "TypeScript", 0, 44, 0, 46, 7, 97
"c:\Users\solsk\Desktop\Martin\Kode\terrassemarkise_ssg\components\markdown\table-of-contents.tsx", "TypeScript JSX", 163, 0, 0, 0, 16, 179
